Animal,Exp,Tratamiento,Edad,Sexo,Hora,Intensidad,Lux,IM/100,IMdec,IM,TotalEstimulos,Respuestas,Freezing,HeadBobbing,Rearing
MachoNocturno2,PuestaAPunto,Naive,Joven,M,00am,2,"17,5","0,127","12,718",12,3,2,0,2,0
MachoNocturno2,PuestaAPunto,Naive,Joven,M,00am,3,"16,5","0,156","15,601",15,3,3,1,2,0
MachoNocturno2,PuestaAPunto,Naive,Joven,M,00am,4,"15,9","0,174","17,403",18,3,2,1,1,0
MachoNocturno2,PuestaAPunto,Naive,Joven,M,00am,5,"14,6","0,215","21,505",22,3,3,1,1,1
MachoNocturno5,PuestaAPunto,Naive,Joven,M,00am,1,"18,8","0,092","9,179",8,3,0,0,0,0
MachoNocturno5,PuestaAPunto,Naive,Joven,M,00am,2,"17,5","0,127","12,718",12,3,2,0,2,0
MachoNocturno5,PuestaAPunto,Naive,Joven,M,00am,3,"16,5","0,156","15,601",15,3,3,0,1,2
MachoNocturno5,PuestaAPunto,Naive,Joven,M,00am,4,"15,9","0,174","17,403",18,3,2,1,0,1
MachoNocturno5,PuestaAPunto,Naive,Joven,M,00am,5,"14,6","0,215","21,505",22,3,3,2,0,1
MachoNocturno6,PuestaAPunto,Naive,Joven,M,00am,1,"18,8","0,092","9,179",8,3,0,0,0,0
MachoNocturno6,PuestaAPunto,Naive,Joven,M,00am,2,"17,5","0,127","12,718",12,3,2,0,2,0
MachoNocturno6,PuestaAPunto,Naive,Joven,M,00am,3,"16,5","0,156","15,601",15,3,2,0,1,1
MachoNocturno6,PuestaAPunto,Naive,Joven,M,00am,4,"15,9","0,174","17,403",18,3,3,1,1,1
MachoNocturno6,PuestaAPunto,Naive,Joven,M,00am,5,"14,6","0,215","21,505",22,3,3,2,0,1
MachoNocturno7,PuestaAPunto,Naive,Joven,M,00am,1,"18,8","0,092","9,179",8,3,0,0,0,0
MachoNocturno7,PuestaAPunto,Naive,Joven,M,00am,2,"17,5","0,127","12,718",12,3,1,0,1,0
MachoNocturno7,PuestaAPunto,Naive,Joven,M,00am,3,"16,5","0,156","15,601",15,3,2,0,1,1
MachoNocturno7,PuestaAPunto,Naive,Joven,M,00am,4,"15,9","0,174","17,403",18,3,2,0,1,1
MachoNocturno7,PuestaAPunto,Naive,Joven,M,00am,5,"14,6","0,215","21,505",22,3,3,2,0,1
MachoNocturno8,PuestaAPunto,Naive,Joven,M,00am,1,"18,8","0,092","9,179",8,3,0,0,0,0
MachoNocturno8,PuestaAPunto,Naive,Joven,M,00am,2,"17,5","0,127","12,718",12,3,1,0,1,0
MachoNocturno8,PuestaAPunto,Naive,Joven,M,00am,3,"16,5","0,156","15,601",15,3,2,0,2,0
MachoNocturno8,PuestaAPunto,Naive,Joven,M,00am,4,"15,9","0,174","17,403",18,3,2,0,1,1
MachoNocturno8,PuestaAPunto,Naive,Joven,M,00am,5,"14,6","0,215","21,505",22,3,3,2,0,1
Isquemia1,Isquemia,Control,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia1,Isquemia,Control,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
Isquemia1,Isquemia,Control,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,2,,,
Isquemia1,Isquemia,Control,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,2,,,
Isquemia1,Isquemia,Control,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
Isquemia2,Isquemia,Control,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia2,Isquemia,Control,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,1,,,
Isquemia2,Isquemia,Control,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,1,,,
Isquemia2,Isquemia,Control,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,2,,,
Isquemia2,Isquemia,Control,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
Isquemia3,Isquemia,Control,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia3,Isquemia,Control,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,1,,,
Isquemia3,Isquemia,Control,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,2,,,
Isquemia3,Isquemia,Control,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,3,,,
Isquemia3,Isquemia,Control,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,2,,,
Isquemia4,Isquemia,Control,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia4,Isquemia,Control,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,1,,,
Isquemia4,Isquemia,Control,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,1,,,
Isquemia4,Isquemia,Control,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,3,,,
Isquemia4,Isquemia,Control,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
Isquemia5,Isquemia,Control,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia5,Isquemia,Control,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,1,,,
Isquemia5,Isquemia,Control,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,0,,,
Isquemia5,Isquemia,Control,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,2,,,
Isquemia5,Isquemia,Control,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
Isquemia6,Isquemia,IsqUnilat,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
Isquemia6,Isquemia,IsqUnilat,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
Isquemia6,Isquemia,IsqUnilat,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,1,,,
Isquemia6,Isquemia,IsqUnilat,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,2,,,
