Animal,Exp,Tratamiento,Edad,Sexo,Intensidad,IMv,IM,TotalEstimulos,Respuestas
MachoJoven4,PuestaAPunto,Naive,Joven,M,1,"6,9",4,4,0
MachoJoven4,PuestaAPunto,Naive,Joven,M,2,"13,2",6,4,0
MachoJoven4,PuestaAPunto,Naive,Joven,M,3,"19,8",8,4,2
MachoJoven4,PuestaAPunto,Naive,Joven,M,4,"27,2",10,4,2
MachoJoven4,PuestaAPunto,Naive,Joven,M,5,"34,1",12,4,3
MachoJoven4,PuestaAPunto,Naive,Joven,M,6,"45,0",16,4,4
MachoJoven5,PuestaAPunto,Naive,Joven,M,1,"6,9",4,4,1
MachoJoven5,PuestaAPunto,Naive,Joven,M,2,"13,2",6,4,0
MachoJoven5,PuestaAPunto,Naive,Joven,M,3,"19,8",8,4,1
MachoJoven5,PuestaAPunto,Naive,Joven,M,4,"27,2",10,4,3
MachoJoven5,PuestaAPunto,Naive,Joven,M,5,"34,1",12,4,4
MachoJoven5,PuestaAPunto,Naive,Joven,M,6,"45,0",16,4,4
MachoJoven6,PuestaAPunto,Naive,Joven,M,1,"6,9",4,4,0
MachoJoven6,PuestaAPunto,Naive,Joven,M,2,"13,2",6,4,1
MachoJoven6,PuestaAPunto,Naive,Joven,M,3,"19,8",8,4,1
MachoJoven6,PuestaAPunto,Naive,Joven,M,4,"27,2",10,4,2
MachoJoven6,PuestaAPunto,Naive,Joven,M,5,"34,1",12,4,3
MachoJoven6,PuestaAPunto,Naive,Joven,M,6,"45,0",16,4,4
MachoViejo1,PuestaAPunto,Naive,Vieja,M,1,"6,9",4,4,0
MachoViejo1,PuestaAPunto,Naive,Vieja,M,2,"13,2",6,4,0
MachoViejo1,PuestaAPunto,Naive,Vieja,M,3,"19,8",8,4,1
MachoViejo1,PuestaAPunto,Naive,Vieja,M,4,"27,2",10,4,2
MachoViejo1,PuestaAPunto,Naive,Vieja,M,5,"34,1",12,4,3
MachoViejo1,PuestaAPunto,Naive,Vieja,M,6,"45,0",16,4,2
MachoViejo2,PuestaAPunto,Naive,Vieja,M,1,"6,9",4,4,1
MachoViejo2,PuestaAPunto,Naive,Vieja,M,2,"13,2",6,4,0
MachoViejo2,PuestaAPunto,Naive,Vieja,M,3,"19,8",8,4,2
MachoViejo2,PuestaAPunto,Naive,Vieja,M,4,"27,2",10,4,2
MachoViejo2,PuestaAPunto,Naive,Vieja,M,5,"34,1",12,4,4
MachoViejo2,PuestaAPunto,Naive,Vieja,M,6,"45,0",16,4,3
MachoViejo3,PuestaAPunto,Naive,Vieja,M,1,"6,9",4,4,0
MachoViejo3,PuestaAPunto,Naive,Vieja,M,2,"13,2",6,4,0
MachoViejo3,PuestaAPunto,Naive,Vieja,M,3,"19,8",8,4,3
MachoViejo3,PuestaAPunto,Naive,Vieja,M,4,"27,2",10,4,2
MachoViejo3,PuestaAPunto,Naive,Vieja,M,5,"34,1",12,4,2
MachoViejo3,PuestaAPunto,Naive,Vieja,M,6,"45,0",16,4,4
MachoViejo4,PuestaAPunto,Naive,Vieja,M,1,"6,9",4,4,0
MachoViejo4,PuestaAPunto,Naive,Vieja,M,2,"13,2",6,4,0
MachoViejo4,PuestaAPunto,Naive,Vieja,M,3,"19,8",8,4,0
MachoViejo4,PuestaAPunto,Naive,Vieja,M,4,"27,2",10,4,0
MachoViejo4,PuestaAPunto,Naive,Vieja,M,5,"34,1",12,4,3
MachoViejo4,PuestaAPunto,Naive,Vieja,M,6,"45,0",16,4,2
MachoViejo5,PuestaAPunto,Naive,Vieja,M,1,"6,9",4,4,0
MachoViejo5,PuestaAPunto,Naive,Vieja,M,2,"13,2",6,4,0
MachoViejo5,PuestaAPunto,Naive,Vieja,M,3,"19,8",8,4,0
MachoViejo5,PuestaAPunto,Naive,Vieja,M,4,"27,2",10,4,1
