Animal,Exp,Tratamiento,Edad,Sexo,Hora,Intensidad,Lux,IM/100,IMdec,IM,TotalEstimulos,Respuestas,Freezing,HeadBobbing,Rearing
1185,PuestaAPunto,Naive,Joven,M,00am,5,"14,6",215,"21,505",22,3,3,1,1,1
1186,PuestaAPunto,Naive,Joven,M,00am,1,"18,8",92,"9,179",8,3,0,0,0,0
1186,PuestaAPunto,Naive,Joven,M,00am,2,"17,5",127,"12,718",12,3,2,0,2,0
1186,PuestaAPunto,Naive,Joven,M,00am,3,"16,5",156,"15,601",15,3,3,0,1,2
1186,PuestaAPunto,Naive,Joven,M,00am,4,"15,9",174,"17,403",18,3,2,1,0,1
1186,PuestaAPunto,Naive,Joven,M,00am,5,"14,6",215,"21,505",22,3,3,2,0,1
1187,PuestaAPunto,Naive,Joven,M,00am,1,"18,8",92,"9,179",8,3,0,0,0,0
1187,PuestaAPunto,Naive,Joven,M,00am,2,"17,5",127,"12,718",12,3,2,0,2,0
1187,PuestaAPunto,Naive,Joven,M,00am,3,"16,5",156,"15,601",15,3,2,0,1,1
1187,PuestaAPunto,Naive,Joven,M,00am,4,"15,9",174,"17,403",18,3,3,1,1,1
1187,PuestaAPunto,Naive,Joven,M,00am,5,"14,6",215,"21,505",22,3,3,2,0,1
1188,PuestaAPunto,Naive,Joven,M,00am,1,"18,8",92,"9,179",8,3,0,0,0,0
1188,PuestaAPunto,Naive,Joven,M,00am,2,"17,5",127,"12,718",12,3,1,0,1,0
1188,PuestaAPunto,Naive,Joven,M,00am,3,"16,5",156,"15,601",15,3,2,0,1,1
1188,PuestaAPunto,Naive,Joven,M,00am,4,"15,9",174,"17,403",18,3,2,0,1,1
1188,PuestaAPunto,Naive,Joven,M,00am,5,"14,6",215,"21,505",22,3,3,2,0,1
1189,PuestaAPunto,Naive,Joven,M,00am,1,"18,8",92,"9,179",8,3,0,0,0,0
1189,PuestaAPunto,Naive,Joven,M,00am,2,"17,5",127,"12,718",12,3,1,0,1,0
1189,PuestaAPunto,Naive,Joven,M,00am,3,"16,5",156,"15,601",15,3,2,0,2,0
1189,PuestaAPunto,Naive,Joven,M,00am,4,"15,9",174,"17,403",18,3,2,0,1,1
1189,PuestaAPunto,Naive,Joven,M,00am,5,"14,6",215,"21,505",22,3,3,2,0,1
1224,Isquemia,Control,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1224,Isquemia,Control,Joven,M,2pm,2,"17,5",127,"12,718",12,3,0,,,
1224,Isquemia,Control,Joven,M,2pm,3,"16,5",156,"15,601",15,3,2,,,
1224,Isquemia,Control,Joven,M,2pm,4,"15,9",174,"17,403",18,3,2,,,
1224,Isquemia,Control,Joven,M,2pm,5,"14,6",215,"21,505",22,3,3,,,
1225,Isquemia,Control,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1225,Isquemia,Control,Joven,M,2pm,2,"17,5",127,"12,718",12,3,1,,,
1225,Isquemia,Control,Joven,M,2pm,3,"16,5",156,"15,601",15,3,1,,,
1225,Isquemia,Control,Joven,M,2pm,4,"15,9",174,"17,403",18,3,2,,,
1225,Isquemia,Control,Joven,M,2pm,5,"14,6",215,"21,505",22,3,3,,,
1226,Isquemia,Control,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1226,Isquemia,Control,Joven,M,2pm,2,"17,5",127,"12,718",12,3,1,,,
1226,Isquemia,Control,Joven,M,2pm,3,"16,5",156,"15,601",15,3,2,,,
1226,Isquemia,Control,Joven,M,2pm,4,"15,9",174,"17,403",18,3,3,,,
1226,Isquemia,Control,Joven,M,2pm,5,"14,6",215,"21,505",22,3,2,,,
1227,Isquemia,Control,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1227,Isquemia,Control,Joven,M,2pm,2,"17,5",127,"12,718",12,3,1,,,
1227,Isquemia,Control,Joven,M,2pm,3,"16,5",156,"15,601",15,3,1,,,
1227,Isquemia,Control,Joven,M,2pm,4,"15,9",174,"17,403",18,3,3,,,
1227,Isquemia,Control,Joven,M,2pm,5,"14,6",215,"21,505",22,3,3,,,
1228,Isquemia,Control,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1228,Isquemia,Control,Joven,M,2pm,2,"17,5",127,"12,718",12,3,1,,,
1228,Isquemia,Control,Joven,M,2pm,3,"16,5",156,"15,601",15,3,0,,,
1228,Isquemia,Control,Joven,M,2pm,4,"15,9",174,"17,403",18,3,2,,,
1228,Isquemia,Control,Joven,M,2pm,5,"14,6",215,"21,505",22,3,3,,,
1229,Isquemia,IsqUnilat,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1229,Isquemia,IsqUnilat,Joven,M,2pm,2,"17,5",127,"12,718",12,3,0,,,
1229,Isquemia,IsqUnilat,Joven,M,2pm,3,"16,5",156,"15,601",15,3,1,,,
1229,Isquemia,IsqUnilat,Joven,M,2pm,4,"15,9",174,"17,403",18,3,2,,,
1229,Isquemia,IsqUnilat,Joven,M,2pm,5,"14,6",215,"21,505",22,3,2,,,
1230,Isquemia,IsqUnilat,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1230,Isquemia,IsqUnilat,Joven,M,2pm,2,"17,5",127,"12,718",12,3,0,,,
1230,Isquemia,IsqUnilat,Joven,M,2pm,3,"16,5",156,"15,601",15,3,0,,,
1230,Isquemia,IsqUnilat,Joven,M,2pm,4,"15,9",174,"17,403",18,3,2,,,
1230,Isquemia,IsqUnilat,Joven,M,2pm,5,"14,6",215,"21,505",22,3,3,,,
1231,Isquemia,IsqUnilat,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1231,Isquemia,IsqUnilat,Joven,M,2pm,2,"17,5",127,"12,718",12,3,0,,,
1231,Isquemia,IsqUnilat,Joven,M,2pm,3,"16,5",156,"15,601",15,3,1,,,
1231,Isquemia,IsqUnilat,Joven,M,2pm,4,"15,9",174,"17,403",18,3,1,,,
1231,Isquemia,IsqUnilat,Joven,M,2pm,5,"14,6",215,"21,505",22,3,2,,,
1232,Isquemia,IsqUnilat,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1232,Isquemia,IsqUnilat,Joven,M,2pm,2,"17,5",127,"12,718",12,3,1,,,
1232,Isquemia,IsqUnilat,Joven,M,2pm,3,"16,5",156,"15,601",15,3,0,,,
1232,Isquemia,IsqUnilat,Joven,M,2pm,4,"15,9",174,"17,403",18,3,1,,,
1232,Isquemia,IsqUnilat,Joven,M,2pm,5,"14,6",215,"21,505",22,3,2,,,
1233,Isquemia,IsqUnilat,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1233,Isquemia,IsqUnilat,Joven,M,2pm,2,"17,5",127,"12,718",12,3,0,,,
1233,Isquemia,IsqUnilat,Joven,M,2pm,3,"16,5",156,"15,601",15,3,2,,,
1233,Isquemia,IsqUnilat,Joven,M,2pm,4,"15,9",174,"17,403",18,3,1,,,
1233,Isquemia,IsqUnilat,Joven,M,2pm,5,"14,6",215,"21,505",22,3,3,,,
1234,Isquemia,IsqBilat,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1234,Isquemia,IsqBilat,Joven,M,2pm,2,"17,5",127,"12,718",12,3,0,,,
1234,Isquemia,IsqBilat,Joven,M,2pm,3,"16,5",156,"15,601",15,3,0,,,
1234,Isquemia,IsqBilat,Joven,M,2pm,4,"15,9",174,"17,403",18,3,1,,,
1234,Isquemia,IsqBilat,Joven,M,2pm,5,"14,6",215,"21,505",22,3,1,,,
1235,Isquemia,IsqBilat,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1235,Isquemia,IsqBilat,Joven,M,2pm,2,"17,5",127,"12,718",12,3,0,,,
1235,Isquemia,IsqBilat,Joven,M,2pm,3,"16,5",156,"15,601",15,3,0,,,
1235,Isquemia,IsqBilat,Joven,M,2pm,4,"15,9",174,"17,403",18,3,0,,,
1235,Isquemia,IsqBilat,Joven,M,2pm,5,"14,6",215,"21,505",22,3,2,,,
1236,Isquemia,IsqBilat,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1236,Isquemia,IsqBilat,Joven,M,2pm,2,"17,5",127,"12,718",12,3,0,,,
1236,Isquemia,IsqBilat,Joven,M,2pm,3,"16,5",156,"15,601",15,3,0,,,
1236,Isquemia,IsqBilat,Joven,M,2pm,4,"15,9",174,"17,403",18,3,0,,,
1236,Isquemia,IsqBilat,Joven,M,2pm,5,"14,6",215,"21,505",22,3,1,,,
1237,Isquemia,IsqBilat,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1237,Isquemia,IsqBilat,Joven,M,2pm,2,"17,5",127,"12,718",12,3,0,,,
1237,Isquemia,IsqBilat,Joven,M,2pm,3,"16,5",156,"15,601",15,3,0,,,
1237,Isquemia,IsqBilat,Joven,M,2pm,4,"15,9",174,"17,403",18,3,1,,,
1237,Isquemia,IsqBilat,Joven,M,2pm,5,"14,6",215,"21,505",22,3,2,,,
